iter	Passed	Remaining
0	45	45513
1	75	37551
2	105	35178
3	136	33960
4	164	32745
5	193	32057
6	222	31517
7	251	31233
8	281	31003
9	310	30720
10	340	30576
11	369	30427
12	398	30226
13	426	30067
14	456	30009
15	484	29811
16	513	29719
17	541	29565
18	570	29438
19	599	29353
20	627	29231
21	657	29242
22	687	29201
23	717	29169
24	746	29124
25	775	29060
26	803	28961
27	831	28880
28	861	28834
29	889	28748
30	918	28706
31	948	28690
32	976	28612
33	1006	28585
34	1037	28597
35	1064	28507
36	1093	28469
37	1121	28384
38	1148	28300
39	1175	28214
40	1204	28176
41	1233	28125
42	1262	28093
43	1288	28001
44	1316	27934
45	1344	27885
46	1370	27789
47	1397	27713
48	1423	27628
49	1449	27533
50	1475	27464
51	1504	27424
52	1532	27385
53	1561	27350
54	1587	27277
55	1613	27196
56	1641	27155
57	1669	27109
58	1695	27048
59	1723	27006
60	1752	26969
61	1778	26912
62	1805	26858
63	1833	26820
64	1857	26722
65	1889	26735
66	1915	26670
67	1942	26618
68	1969	26577
69	1997	26538
70	2023	26472
71	2051	26446
72	2079	26404
73	2105	26347
74	2133	26318
75	2160	26267
76	2187	26219
77	2215	26191
78	2241	26134
79	2268	26089
80	2297	26065
81	2323	26015
82	2353	25996
83	2379	25943
84	2409	25933
85	2437	25905
86	2463	25853
87	2492	25828
88	2520	25802
89	2546	25746
90	2574	25721
91	2603	25693
92	2632	25671
93	2656	25605
94	2682	25557
95	2710	25519
96	2736	25471
97	2764	25442
98	2789	25385
99	2815	25338
100	2840	25284
101	2867	25241
102	2894	25210
103	2921	25173
104	2949	25137
105	2977	25109
106	3004	25076
107	3032	25044
108	3058	24997
109	3085	24961
110	3112	24929
111	3140	24899
112	3167	24866
113	3193	24820
114	3217	24762
115	3243	24717
116	3271	24686
117	3299	24661
118	3326	24626
119	3353	24595
120	3381	24561
121	3407	24525
122	3434	24488
123	3464	24476
124	3489	24425
125	3515	24383
126	3542	24351
127	3569	24320
128	3595	24276
129	3620	24230
130	3647	24196
131	3675	24168
132	3699	24113
133	3728	24096
134	3756	24069
135	3781	24021
136	3809	23994
137	3834	23950
138	3859	23905
139	3886	23874
140	3913	23840
141	3939	23804
142	3968	23782
143	3994	23743
